date,open,high,low,close
2011-09-19,1214.9900,1214.9900,1188.3600,1204.0900
2011-09-20,1204.5000,1220.3900,1201.2900,1202.0900
2011-09-21,1203.6300,1206.3000,1166.2100,1166.7600
2011-09-22,1164.5500,1164.5500,1114.2200,1129.5601
2011-09-23,1128.8199,1141.7200,1121.3600,1136.4301
2011-09-26,1136.9100,1164.1899,1131.0699,1162.9500
2011-09-27,1163.3199,1195.8600,1163.3199,1175.3800
2011-09-28,1175.3900,1184.7100,1150.4000,1151.0601
2011-09-29,1151.7400,1175.8700,1139.9301,1160.4000
2011-09-30,1159.9301,1159.9301,1131.3400,1131.4200
2011-10-03,1131.2100,1138.9900,1098.9200,1099.2300
2011-10-04,1097.4200,1125.1200,1074.7700,1123.9500
2011-10-05,1124.0300,1146.0699,1115.6801,1144.0300
2011-10-06,1144.1100,1165.5500,1134.9500,1164.9700
2011-10-07,1165.0300,1171.4000,1150.2600,1155.4600
2011-10-10,1158.1500,1194.9100,1158.1500,1194.8900
2011-10-11,1194.6000,1199.2400,1187.3000,1195.5400
2011-10-12,1196.1899,1220.2500,1196.1899,1207.2500
2011-10-13,1206.9600,1207.4600,1190.5800,1203.6600
2011-10-14,1205.6500,1224.6100,1205.6500,1224.5800
2011-10-17,1224.4700,1224.4700,1198.5500,1200.8600
2011-10-18,1200.7500,1233.1000,1191.4800,1225.3800
2011-10-19,1223.4600,1229.6400,1206.3101,1209.8800
2011-10-20,1209.9200,1219.5300,1197.3400,1215.3900
2011-10-21,1215.3900,1239.0300,1215.3900,1238.2500
2011-10-24,1238.7200,1256.5500,1238.7200,1254.1899
2011-10-25,1254.1899,1254.1899,1226.7900,1229.0500
2011-10-26,1229.1700,1246.2800,1221.0601,1242.0000
2011-10-27,1243.9700,1292.6600,1243.9700,1284.5900
2011-10-28,1284.3900,1287.0800,1277.0100,1285.0900
2011-10-31,1284.9600,1284.9600,1253.1600,1253.3000
2011-11-01,1251.0000,1251.0000,1215.4200,1218.2800
2011-11-02,1219.6200,1242.4800,1219.6200,1237.9000
2011-11-03,1238.2500,1263.2100,1234.8101,1261.1500
2011-11-04,1260.8199,1260.8199,1238.9200,1253.2300
2011-11-07,1253.2100,1261.7000,1240.7500,1261.1200
2011-11-08,1261.1200,1277.5500,1254.9900,1275.9200
2011-11-09,1275.1801,1275.1801,1226.6400,1229.1000
2011-11-10,1229.5900,1246.2200,1227.7000,1239.7000
2011-11-11,1240.1200,1266.9800,1240.1200,1263.8500
2011-11-14,1263.8500,1263.8500,1246.6801,1251.7800
2011-11-15,1251.7000,1264.2500,1244.3400,1257.8101
2011-11-16,1257.8101,1259.6100,1235.6700,1236.9100
2011-11-17,1236.5601,1237.7300,1209.4301,1216.1300
2011-11-18,1216.1899,1223.5100,1211.3600,1215.6500
2011-11-21,1215.6200,1215.6200,1183.1600,1192.9800
2011-11-22,1192.9800,1196.8101,1181.6500,1188.0400
2011-11-23,1187.4800,1187.4800,1161.7900,1161.7900
2011-11-25,1161.4100,1172.6600,1158.6600,1158.6700
2011-11-28,1158.6700,1197.3500,1158.6700,1192.5500
2011-11-29,1192.5601,1203.6700,1191.8000,1195.1899
2011-11-30,1196.7200,1247.1100,1196.7200,1246.9600
2011-12-01,1246.9100,1251.0900,1239.7300,1244.5800
2011-12-02,1246.0300,1260.0800,1243.3500,1244.2800
2011-12-05,1244.3300,1266.7300,1244.3300,1257.0800
2011-12-06,1257.1899,1266.0300,1253.0300,1258.4700
2011-12-07,1258.1400,1267.0601,1244.8000,1261.0100
2011-12-08,1260.8700,1260.8700,1231.4700,1234.3500
2011-12-09,1234.4800,1258.2500,1234.4800,1255.1899
2011-12-12,1255.0500,1255.0500,1227.2500,1236.4700
2011-12-13,1236.8300,1249.8600,1219.4301,1225.7300
2011-12-14,1225.7300,1225.7300,1209.4700,1211.8199
2011-12-15,1212.1200,1225.6000,1212.1200,1215.7500
2011-12-16,1216.0900,1231.0400,1215.2000,1219.6600
2011-12-19,1219.7400,1224.5699,1202.3700,1205.3500
2011-12-20,1205.7200,1242.8199,1205.7200,1241.3000
2011-12-21,1241.2500,1245.0900,1229.5100,1243.7200
2011-12-22,1243.7200,1255.2200,1243.7200,1254.0000
2011-12-23,1254.0000,1265.4200,1254.0000,1265.3300
2011-12-27,1265.0200,1269.3700,1262.3000,1265.4301
2011-12-28,1265.3800,1265.8500,1248.6400,1249.6400
2011-12-29,1249.7500,1263.5400,1249.7500,1263.0200
2011-12-30,1262.8199,1264.1200,1257.4600,1257.6000
2012-01-03,1258.8600,1284.6200,1258.8600,1277.0601
2012-01-04,1277.0300,1278.7300,1268.1000,1277.3000
2012-01-05,1277.3000,1283.0500,1265.2600,1281.0601
2012-01-06,1280.9301,1281.8400,1273.3400,1277.8101
2012-01-09,1277.8300,1281.9900,1274.5500,1280.7000
2012-01-10,1280.7700,1296.4600,1280.7700,1292.0800
2012-01-11,1292.0200,1293.8000,1285.4100,1292.4800
2012-01-12,1292.4800,1296.8199,1285.7700,1295.5000
2012-01-13,1294.8199,1294.8199,1277.5800,1289.0900
2012-01-17,1290.2200,1303.0000,1290.2200,1293.6700
2012-01-18,1293.6500,1308.1100,1290.9900,1308.0400
2012-01-19,1308.0699,1315.4900,1308.0699,1314.5000
2012-01-20,1314.4900,1315.3800,1309.1700,1315.3800
2012-01-23,1315.2900,1322.2800,1309.8900,1316.0000
2012-01-24,1315.9600,1315.9600,1306.0601,1314.6500
2012-01-25,1314.4000,1328.3000,1307.6500,1326.0601
2012-01-26,1326.2800,1333.4700,1313.6000,1318.4301
2012-01-27,1318.2500,1320.0601,1311.7200,1316.3300
2012-01-30,1316.1600,1316.1600,1300.4900,1313.0100
