date,time,volume
2026-06-24,09:30,2382376
2026-06-24,09:35,809752
2026-06-24,09:40,969292
2026-06-24,09:45,1311945
2026-06-24,09:50,966421
2026-06-24,09:55,535342
2026-06-24,10:00,360022
2026-06-24,10:05,392817
2026-06-24,10:10,892574
2026-06-24,10:15,331358
2026-06-24,10:20,493511
2026-06-24,10:25,285032
2026-06-24,10:30,559618
2026-06-24,10:35,422055
2026-06-24,10:40,272103
2026-06-24,10:45,521402
2026-06-24,10:50,487918
2026-06-24,10:55,359928
2026-06-24,11:00,586642
2026-06-24,11:05,313686
2026-06-24,11:10,358371
2026-06-24,11:15,410261
2026-06-24,11:20,279863
2026-06-24,11:25,422828
2026-06-24,11:30,414655
2026-06-24,11:35,296174
2026-06-24,11:40,298363
2026-06-24,11:45,363312
2026-06-24,11:50,222441
2026-06-24,11:55,187955
2026-06-24,12:00,190916
2026-06-24,12:05,121414
2026-06-24,12:10,141561
2026-06-24,12:15,115296
2026-06-24,12:20,170065
2026-06-24,12:25,184404
2026-06-24,12:30,236587
2026-06-24,12:35,375928
2026-06-24,12:40,524417
2026-06-24,12:45,373852
2026-06-24,12:50,222221
2026-06-24,12:55,327345
2026-06-24,13:00,368124
2026-06-24,13:05,427355
2026-06-24,13:10,390261
2026-06-24,13:15,609435
2026-06-24,13:20,468611
2026-06-24,13:25,438050
2026-06-24,13:30,661357
2026-06-24,13:35,460801
2026-06-24,13:40,377457
2026-06-24,13:45,345856
2026-06-24,13:50,218681
2026-06-24,13:55,437794
2026-06-24,14:00,464765
2026-06-24,14:05,347464
2026-06-24,14:10,1333594
2026-06-24,14:15,552156
2026-06-24,14:20,381391
2026-06-24,14:25,464287
2026-06-24,14:30,446611
2026-06-24,14:35,411602
2026-06-24,14:40,556350
2026-06-24,14:45,596787
2026-06-24,14:50,876052
2026-06-24,14:55,446993
2026-06-24,15:00,583380
2026-06-24,15:05,741157
2026-06-24,15:10,781000
2026-06-24,15:15,735379
2026-06-24,15:20,435937
2026-06-24,15:25,653041
2026-06-24,15:30,621434
2026-06-24,15:35,597248
2026-06-24,15:40,1004610
2026-06-24,15:45,927484
2026-06-24,15:50,1460238
2026-06-24,15:55,4087093
2026-06-25,09:30,2290954
2026-06-25,09:35,728645
2026-06-25,09:40,956280
2026-06-25,09:45,1504795
2026-06-25,09:50,1122053
2026-06-25,09:55,1333328
2026-06-25,10:00,1285270
2026-06-25,10:05,975194
2026-06-25,10:10,942601
2026-06-25,10:15,572213
2026-06-25,10:20,684376
2026-06-25,10:25,468631
2026-06-25,10:30,690777
2026-06-25,10:35,389804
2026-06-25,10:40,511150
2026-06-25,10:45,460281
2026-06-25,10:50,570673
2026-06-25,10:55,682515
2026-06-25,11:00,360286
2026-06-25,11:05,573608
2026-06-25,11:10,759178
2026-06-25,11:15,869307
