ym,g_mom,i_mom,quadrant
1948-04,-0.011953,-0.019694,Deflation
1948-05,0.005773,-0.000970,Goldilocks
1948-06,0.037214,0.025568,Reflation
1948-07,0.033467,0.014889,Reflation
1948-08,0.009763,-0.003225,Goldilocks
1948-09,-0.019881,-0.027200,Deflation
1948-10,-0.028494,-0.036507,Deflation
1948-11,-0.045386,-0.042923,Deflation
1948-12,-0.042686,-0.039211,Deflation
1949-01,-0.055367,-0.047173,Deflation
1949-02,-0.039505,-0.037562,Deflation
1949-03,-0.034077,-0.009892,Deflation
1949-04,-0.026565,-0.009738,Deflation
1949-05,-0.044425,-0.014304,Deflation
1949-06,-0.050374,-0.026971,Deflation
1949-07,-0.044707,-0.032887,Deflation
1949-08,-0.003046,-0.025716,Deflation
1949-09,0.026909,-0.015517,Goldilocks
1949-10,-0.013202,0.002362,Stagflation
1949-11,0.010252,0.010842,Reflation
1949-12,0.019877,0.006746,Reflation
1950-01,0.088098,0.005502,Reflation
1950-02,0.065408,0.006493,Reflation
1950-03,0.092531,0.007003,Reflation
1950-04,0.107930,0.009537,Reflation
1950-05,0.135876,0.006692,Reflation
1950-06,0.119246,0.009620,Reflation
1950-07,0.118016,0.026899,Reflation
1950-08,0.102340,0.026952,Reflation
1950-09,0.046005,0.026514,Reflation
1950-10,0.061112,0.019454,Reflation
1950-11,0.000481,0.016878,Reflation
1950-12,0.020183,0.033184,Reflation
1951-01,-0.052980,0.044475,Stagflation
1951-02,-0.015004,0.056053,Stagflation
1951-03,-0.047749,0.036728,Stagflation
1951-04,-0.066855,0.016442,Stagflation
1951-05,-0.099690,-0.000633,Deflation
1951-06,-0.104306,-0.008909,Deflation
1951-07,-0.118171,-0.019539,Deflation
1951-08,-0.129441,-0.024800,Deflation
1951-09,-0.078878,-0.016413,Deflation
1951-10,-0.036344,-0.008689,Deflation
1951-11,0.014395,0.001324,Reflation
1951-12,-0.009684,-0.009785,Deflation
1952-01,0.006209,-0.025596,Goldilocks
1952-02,-0.003457,-0.047464,Deflation
1952-03,0.006185,-0.039941,Goldilocks
1952-04,-0.012505,-0.021326,Deflation
1952-05,-0.018655,-0.003986,Deflation
1952-06,-0.021793,0.003433,Stagflation
1952-07,-0.011168,0.008885,Stagflation
1952-08,0.068512,0.013627,Reflation
1952-09,0.104660,-0.000089,Goldilocks
1952-10,0.117770,-0.009458,Goldilocks
1952-11,0.057709,-0.018038,Goldilocks
1952-12,0.025552,-0.013983,Goldilocks
1953-01,0.003639,-0.013077,Goldilocks
1953-02,-0.010426,-0.007242,Deflation
1953-03,-0.003866,0.000027,Stagflation
1953-04,0.020189,0.001509,Reflation
1953-05,0.037717,0.001873,Reflation
1953-06,0.038008,-0.000048,Goldilocks
1953-07,0.055952,-0.004569,Goldilocks
1953-08,-0.038460,-0.002694,Deflation
1953-09,-0.105129,0.000717,Stagflation
1953-10,-0.157309,0.005619,Stagflation
1953-11,-0.124129,0.000000,Deflation
1953-12,-0.093010,-0.003773,Deflation
1954-01,-0.083476,0.001520,Stagflation
1954-02,-0.041578,0.009048,Stagflation
1954-03,-0.025485,0.005275,Stagflation
1954-04,-0.025145,-0.004892,Deflation
1954-05,-0.022226,-0.006429,Deflation
1954-06,-0.002345,-0.004915,Deflation
1954-07,-0.002954,-0.003757,Deflation
1954-08,0.000229,-0.008614,Goldilocks
1954-09,0.014286,-0.009325,Goldilocks
1954-10,0.043408,-0.011147,Goldilocks
1954-11,0.079081,-0.002607,Goldilocks
1954-12,0.096819,-0.000747,Goldilocks
1955-01,0.109155,0.002224,Reflation
1955-02,0.080034,-0.003692,Goldilocks
1955-03,0.073502,-0.001477,Goldilocks
1955-04,0.062169,0.003704,Reflation
1955-05,0.063150,0.000357,Reflation
1955-06,0.029440,-0.003339,Goldilocks
1955-07,0.016486,-0.001117,Goldilocks
