,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,N_days,NetProfit_EUR,EndBalance_EUR,MC_End_P5,MC_End_P50,MC_End_P95,MC_CAGR_P5,MC_CAGR_P50,MC_MaxDD_P50,MC_MaxDD_P95,MC_P_Loss,MC_P_DD20,YearConsistency,DSR,Sharpe_CI_lo,Sharpe_CI_hi,Score,DQ,kind
C5-IV-SPX,0.06202801117752199,0.06503359507406449,0.958022253433987,1.1324663892604656,-0.09940776919819361,0.6239754868037933,1.2128048702611316,0.5464222353636902,3382.0,124264.91279704281,224264.9127970428,148888.5040478067,216481.4511492008,309940.5481586231,0.03010205228093582,0.05923642698059106,-0.11294275467507847,-0.1890957081129967,0.0,0.035,0.8571428571428571,0.9862417328216425,0.43862094163746207,1.4580028976321842,0.9223121028678798,False,combo
VMG-SPX,0.14220832196712374,0.1532074582864732,0.9448920076709828,1.208442562667609,-0.25074646689985225,0.5671398832667163,1.1866814856202401,0.5500945179584121,2645.0,303735.2901842489,403735.2901842489,185506.41568815766,401942.7974639048,834687.3385540751,0.060639155982831594,0.14172420010107034,-0.23284971037804175,-0.360986501234588,0.0012,0.723,0.8181818181818182,0.9716158851741794,0.3757945981650968,1.4967661933018193,0.9093641566885511,False,family
C4-IV-SPX,0.06997656971627286,0.07173625667285582,0.9788953710619123,1.1488086786674196,-0.1350860579695501,0.5180147438460775,1.216311524207328,0.5470136014192786,3382.0,147868.4905126012,247868.4905126012,158316.17871658682,241126.57832861843,359866.5913607973,0.0348253369142942,0.06778027188949631,-0.12716467616632782,-0.21171913352962932,0.0002,0.0724,0.8571428571428571,0.9882839975193697,0.4600125975974533,1.485953016706005,0.9066525544492202,False,combo
C5-EW-SPX,0.07616443104365533,0.08257831269272141,0.9303859665988887,1.170865543965626,-0.1399420607581634,0.5442568919667159,1.1802815079591158,0.5482174167153712,3422.0,170951.5294763489,270951.5294763489,166281.8512452724,262025.1830292829,409274.39158926916,0.03815755166118097,0.07351288174561776,-0.1416159583029034,-0.2245378633555029,0.0002,0.1024,0.8571428571428571,0.9823765737245178,0.4102547220336339,1.3939977157244756,0.8921132620521309,False,combo
C4-EW-SPX,0.08213280189253469,0.090298132745316,0.9195554562756821,1.1450313095384788,-0.17023478039108553,0.48246781124191257,1.1763207510612808,0.5485096434833431,3422.0,192084.33273800142,292084.3327380014,167453.50546493763,283773.7509131588,466742.14523540204,0.038694490481994394,0.0798349825773016,-0.16071834498725907,-0.2566742014906272,0.0004,0.2128,0.8571428571428571,0.9801266057093543,0.381231950880806,1.4005067858554812,0.8647692410292271,False,combo
C2-EW-SPX,0.09629595082828168,0.11264214632035721,0.8727568537865505,1.1418234153043714,-0.18763670417044165,0.5132042329032294,1.1635755097000022,0.5417884278199883,3422.0,248493.200876109,348493.200876109,178546.69470613688,338993.9463625476,645550.3049167899,0.04361254743542842,0.09406705859480835,-0.19433598340746805,-0.30016221952669797,0.0004,0.4512,0.8571428571428571,0.9719783221769696,0.3562794051572679,1.3662788290341767,0.8557586369958585,False,combo
C6-EW-SPX,0.06563471254422493,0.07528966534390998,0.882156420492984,1.1118569101273523,-0.14140278436639386,0.46416845918787886,1.1709009726873543,0.548801870251315,3422.0,137084.949939128,237084.949939128,149044.63401888206,230922.15130648512,349838.35331071983,0.029824486961279095,0.06356986289227662,-0.13835257400060985,-0.22394354144512174,0.0006,0.101,0.8571428571428571,0.9735249373926207,0.3392137290613601,1.369078914872722,0.8400523868488778,False,combo
VMfix-SPX,0.12215557353373963,0.14763945387907268,0.8548171657413263,1.1005668609994295,-0.253479077713457,0.4819158040011066,1.1662234588196527,0.5479251899473991,3422.0,378287.38085445395,478287.38085445395,199272.51933667637,453396.8338391428,1056427.3427804573,0.05208698494429123,0.11774780761872217,-0.24698935407987316,-0.38143307741754984,0.002,0.8114,0.7857142857142857,0.9674013947211806,0.33991518598086357,1.3311857647030587,0.82258131471534,False,benchmark
C3-EW-SPX,0.09329439426785724,0.10942461973154338,0.8701910684967891,1.0984582680174202,-0.19505064836565855,0.4783085575442929,1.161809860705322,0.5482174167153712,3422.0,235757.33764031302,335757.337640313,173212.89370836114,322586.9890590258,595890.3184612596,0.04128430012012061,0.09007740183902901,-0.19148658864496004,-0.3027183274530197,0.0008,0.4398,0.7857142857142857,0.9698509731691901,0.33157593158650506,1.3760716476321655,0.821914906700461,False,combo
C2-ERC-SPX,0.08664548235400593,0.10851898777603704,0.8201980997014563,1.0734676205517997,-0.1742803506868259,0.49716151024795696,1.1530980693255106,0.5451104100946372,3170.0,184421.61776285007,284421.6177628501,154572.31746532136,280612.7218793605,507564.2546776346,0.035225775224423085,0.08548147074158552,-0.1879005395749413,-0.2993807301755274,0.0016,0.402,0.8461538461538461,0.9512586859944475,0.30681160158799475,1.3231996327594313,0.8138423952536527,False,combo
