,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,N_days,NetProfit_EUR,EndBalance_EUR,MC_End_P5,MC_End_P50,MC_End_P95,MC_CAGR_P5,MC_CAGR_P50,MC_MaxDD_P50,MC_MaxDD_P95,MC_P_Loss,MC_P_DD20,DSR,SR_lo,SR_hi,YearCons,Score,AvgExpo,CAGR_at7vol
E7 Post-shock-throttle,0.07118320252443167,0.07041113875136039,1.0119810907687607,1.2014609522370108,-0.13091189541644277,0.5437489259321421,1.2226239982479112,0.5470136014192786,3382.0,151646.2928245363,251646.2928245363,162311.92009745247,244675.3780653624,363385.6434343002,0.0367490736731987,0.0689433395503879,-0.12167787521183909,-0.20005989089233486,0.0,0.0504,0.99963095573926,0.48807577044818773,1.5019037573931588,0.8571428571428571,0.9386551630032751,0.9964518036664696,0.07251904883564597
BASE (always in),0.06997656971627286,0.07173625667285582,0.9788953710619123,1.1488086786674196,-0.1350860579695501,0.5180147438460775,1.216311524207328,0.5470136014192786,3382.0,147868.4905126012,247868.4905126012,158316.17871658682,241126.57832861843,359866.5913607973,0.0348253369142942,0.06778027188949631,-0.12716467616632782,-0.21171913352962932,0.0002,0.0724,0.9994258899826944,0.4600125975974533,1.485953016706005,0.8571428571428571,0.9066525544492202,1.0,0.06997656971627286
E3 Backwardation-gate,0.06431303118423926,0.06690031111360402,0.965280555471168,1.1417197620893809,-0.1410384207503258,0.4559965351433552,1.2117807892380028,0.5422826729745712,3382.0,130827.87891071397,230827.87891071397,151890.14087154047,224461.19974569092,328184.18909219385,0.031635202711297085,0.06209724468860922,-0.11704130532544327,-0.19359541064682534,0.0,0.0424,0.9993292816742061,0.42280534313148416,1.4428047753039817,0.8571428571428571,0.8840329966973166,0.9636309875813128,0.06893263776459957
E9 Macro-riskoff,0.06711671174201128,0.07101581713033718,0.9504052989667988,1.1090725452816474,-0.1350860579695501,0.496844106274388,1.2108568281955252,0.5467179183914843,3382.0,139123.30031154907,239123.30031154907,153115.71766183528,232907.19272188673,344665.72473422025,0.032253148436292955,0.06502444823464704,-0.12668429248301205,-0.2122572160086104,0.0002,0.0702,0.9991829475720893,0.4201653909179669,1.4546900997087633,0.8571428571428571,0.8810136926156422,0.9875813128326434,0.06779241772849787
E8 Turn-of-month,0.05236305055604773,0.05651525781434297,0.9314600437186945,1.0922092826881455,-0.10034284877334476,0.521841378794475,1.2068357588211631,0.5410999408633944,3382.0,98370.14340328603,198370.14340328603,139504.9993414547,193905.43127368487,264891.5262864829,0.025117601058991246,0.05057954198495063,-0.10122611170112261,-0.1707103139759323,0.0002,0.0178,0.9989979268841662,0.41964124950848486,1.4509184400765966,0.8571428571428571,0.8764044462308114,0.7820520402128917,0.06634309931501958
E6 Fear-reversal-add,0.07057006013420142,0.0769624843161528,0.9247057684335094,1.0650974094594843,-0.14990606733696932,0.47076186700014694,1.2085579551530616,0.5437610881135423,3382.0,149720.01913795565,249720.01913795565,154157.13877993118,242881.96509412478,373387.46969282016,0.03277465122389508,0.06835753874951322,-0.13942633056032394,-0.2332500862077304,0.0004,0.1196,0.9988547626317843,0.40231801976882975,1.4583838834877487,0.8571428571428571,0.8550112494225434,1.0290952099349497,0.06582527541705296
E10 Dual-confirm,0.06009752711321115,0.0655207654652619,0.9236263293394004,1.0795514799278547,-0.14349772411489659,0.41880474052042743,1.205713525384842,0.540508574807806,3382.0,118855.27373117616,218855.27373117616,144526.5695384229,213696.530822588,310937.1842937087,0.027822313744588347,0.058214991438313324,-0.11835715282235237,-0.19870809200229406,0.0002,0.0476,0.9988821729942864,0.3757826671308375,1.4148651585598828,0.8571428571428571,0.8447200862401929,0.8979006505026611,0.06574380520906042
E5 Low-vol-only,0.04471497977947769,0.05053791487393467,0.8909519718513693,1.0254069652100641,-0.1068548435133001,0.4184646976148729,1.1933101309168708,0.5467179183914843,3382.0,79871.69719792149,179871.6971979215,130409.7207155842,176606.11988852988,235995.26600401194,0.019980784846815137,0.04328970704903068,-0.09470728146252916,-0.158997091769076,0.0008,0.0094,0.998233398933394,0.3468837524718695,1.400224441979494,0.8571428571428571,0.8156551523668752,0.7874630396215256,0.06324671569302853
E1 Trend-SMA200,0.059516697523274154,0.0677686631255459,0.887122313907664,1.0155857444542178,-0.14595992339202202,0.4077605423471143,1.2030243284348894,0.5449438202247191,3382.0,117251.4530525544,217251.4530525544,141168.62015005836,212520.67511205265,312851.463923915,0.02602350223422555,0.05778001269958388,-0.1279041173534366,-0.2173039470461901,0.0014,0.079,0.9982675314683931,0.3549531306880412,1.3968209017966546,0.8571428571428571,0.8141239144934499,0.8650502661147251,0.06295674773785054
E4 EquityCurve-trend,0.049428578172023174,0.05698159429685982,0.8753015850090112,1.0081591998214945,-0.12012175963378346,0.41148729691203845,1.193975280231643,0.5443524541691307,3382.0,91073.75746292376,191073.75746292376,132486.0492980972,186721.0148777758,263776.562146087,0.021182014238741564,0.04762820190456518,-0.10631044923768829,-0.1796059194359704,0.0012,0.0256,0.9979657739512278,0.32715909765564505,1.368901977686945,0.7857142857142857,0.7952246841492246,0.828267297457126,0.062055254793929926
E2 VVIX-spike-gate,0.05436552346036749,0.06350400401575108,0.8655161641814603,0.9976141443738443,-0.14545812670897096,0.3737537715520061,1.1942258736236544,0.5458308693081018,3382.0,103496.27099060972,203496.27099060972,134177.43908503265,198447.900084952,288256.4344939401,0.022147733721886467,0.05239378108417403,-0.12117696084789387,-0.20269598175500958,0.0016,0.0528,0.9977995170955212,0.3108354641950292,1.3709773456330325,0.8571428571428571,0.7915102844197026,0.9066528681253696,0.06131097818914277
