,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,N_days,NetProfit_EUR,EndBalance_EUR,MC_End_P5,MC_End_P50,MC_End_P95,MC_CAGR_P5,MC_CAGR_P50,MC_MaxDD_P50,MC_MaxDD_P95,MC_P_Loss,MC_P_DD20,DSR,SR_lo,SR_hi,YearCons,Score,AvgLev
S1 Constant,0.14512135901882095,0.14999999999999997,0.9788953710619125,1.1488086786674199,-0.26837016996836205,0.5407507065182736,1.2163115242073281,0.5470136014192786,3382.0,516346.1694114915,616346.1694114915,241127.55148449395,581385.428043884,1345859.7508252615,0.0677805907916695,0.1401496178934888,-0.2532628269741035,-0.4012895262204393,0.0004,0.8352,0.9910586945627773,0.46001259759745333,1.485953016706005,0.8571428571428571,0.9123365451172695,2.0909928529454227
BASE (1.0x),0.06997656971627286,0.07173625667285582,0.9788953710619123,1.1488086786674196,-0.1350860579695501,0.5180147438460775,1.216311524207328,0.5470136014192786,3382.0,147868.4905126012,247868.4905126012,158316.17871658682,241126.57832861843,359866.5913607973,0.0348253369142942,0.06778027188949631,-0.12716467616632782,-0.21171913352962932,0.0002,0.0724,0.9910586945627773,0.4600125975974533,1.485953016706005,0.8571428571428571,0.9066525544492202,1.0
S5 TermStructure,0.1252743962686944,0.13445548137411867,0.9453997143848943,1.1684238021016633,-0.2324126644021689,0.5390170823562287,1.1987483390547353,0.4914251921939681,3382.0,387439.56118745386,487439.56118745386,206233.5127128508,455279.53482867696,987725.1265940566,0.05541575805029344,0.11956599828297632,-0.2244178651143846,-0.356433132601438,0.0,0.6734,0.9880321489674858,0.4129625637453077,1.4188280233491843,0.8571428571428571,0.9023069521953312,2.0909928529454236
S8 Drawdown-throttle,0.13425712730067696,0.14932483517371817,0.9188162412748428,1.0696082914501663,-0.29308178695729803,0.4580875826318003,1.2031824508134432,0.5464222353636902,3382.0,442329.58229536354,542329.5822953635,208732.59442026142,501627.3041558962,1179436.2101128686,0.056363409305645,0.12768262137323128,-0.25817245622215507,-0.412130827970384,0.0012,0.8486,0.9842391268720889,0.38512204703639563,1.40811838471111,0.8571428571428571,0.8493302853261188,2.0909928529454236
S4 Inverse-VIX,0.12209609789499831,0.13837765834686,0.9021927839954028,1.0760011626656392,-0.2929916654206962,0.41672208565962077,1.1922537040236492,0.4940863394441159,3382.0,369283.26192847296,469283.26192847296,192825.01154865476,439048.5844708554,962376.9016443664,0.05014223422060013,0.11654177450243075,-0.24263543875611115,-0.38860683146589614,0.001,0.777,0.9813305570671825,0.35827462807870053,1.3912566108058626,0.8571428571428571,0.8321177075969306,2.0909928529454236
S6 Inverse-VVIX,0.11651172572731006,0.13903146720421541,0.8626503912600103,1.0187326266924481,-0.22482674313558904,0.5182289442188107,1.189664408662857,0.5088704908338262,3382.0,338890.0349438152,438890.0349438152,186585.34249749995,418721.735851313,917497.6108222954,0.047571461289321014,0.11260495450773644,-0.23153710123940374,-0.36654968366388807,0.0014,0.7168,0.9744153376554835,0.3371264984232382,1.3606947825181892,0.8571428571428571,0.8311107352172962,2.0909928529454236
S3 VolTarget-EWMA,0.03208536538089701,0.04184759376414272,0.775671915071251,0.8824431345973737,-0.11038297785121953,0.29067312737425416,1.1836793220983142,0.5109402720283855,3382.0,52782.0482432892,152782.0482432892,115828.89913987188,147626.40525587753,185606.89565459968,0.011009263390797951,0.02944884831788719,-0.08191285313274921,-0.14458505986337292,0.004,0.0068,0.9478218984961739,0.20077495187983924,1.2689839442951627,0.7857142857142857,0.7022324091433257,1.0982749374928824
S9 Regime-discrete,0.09905423367037125,0.13784007958681915,0.7546796624254523,0.8521312224236581,-0.32513917147189864,0.30465179948006477,1.1636540113102762,0.5363690124186872,3382.0,255224.31206307246,355224.31206307246,147071.69537694313,331216.5950110069,722467.1934790217,0.029160110491346862,0.093338536380565,-0.2607500215553191,-0.4224114747211336,0.011,0.857,0.9400575484412831,0.18090772956261827,1.2742043351778765,0.8571428571428571,0.6931366833087708,2.0909928529454236
S2 VolTarget-20d,0.01523218888290545,0.02587380537100121,0.5971049417805339,0.745232202181834,-0.06527680079007447,0.23334766254692968,1.170245890727531,0.5372560615020697,3382.0,22493.08002615742,122493.08002615742,105362.75908680553,121739.8968229584,140955.01245340618,0.0039000285332335127,0.014765722594360153,-0.04962408268095142,-0.09093538098497086,0.0126,0.0,0.8746982969577206,0.07384938014128595,1.0700512667474666,0.7857142857142857,0.6043076528682977,0.9805013362390056
S7 VolTgt*VVIXthrottle,0.013441596735617845,0.025288963667963918,0.5405073795412525,0.6849357170620776,-0.058825729413339634,0.228498598651796,1.1594004281144876,0.5363690124186872,3382.0,19625.17440542266,119625.17440542266,103387.30608225884,118827.56131663216,137102.84705483608,0.002485231173706526,0.012936541351775022,-0.0478500619601398,-0.08850009887894189,0.0196,0.0,0.8232337055677253,0.02611737455665807,0.991407243978407,0.7142857142857143,0.5575499118899236,0.970040267209172
S10 Frac-Kelly,0.04336946764957972,0.15645089340388474,0.3514396539716697,0.30898254001448106,-0.36066550826296917,0.12024844809378912,1.0984126785785149,0.38704908338261385,3382.0,76787.40745260095,176787.40745260095,64978.331160134105,171878.41118481447,428747.0078616458,-0.03161291945773713,0.0411824535377997,-0.3779612279184738,-0.6241130968034506,0.1788,0.979,0.5470245454406784,-0.21371626326317456,0.9154277331527334,0.5714285714285714,0.3279654298256687,1.9447296429574563
