,Baseline,B: Regime-Gate+Richtung,C: Regime-TP (VWAP/1/2sd),D: skip erste 30min,D+B: skip30 + Regime
2013-01-03,100312.86402050985,100312.86402050985,100312.86402050985,100000.0,100000.0
2013-01-04,100312.86402050985,100312.86402050985,100312.86402050985,100000.0,100000.0
2013-01-07,100498.80489817713,100498.80489817713,100498.80489817713,99679.93052828682,99679.93052828682
2013-01-08,100101.66089893311,100101.66089893311,100101.66089893311,99679.93052828682,99679.93052828682
2013-01-09,99822.5035290851,99822.5035290851,99822.5035290851,99679.93052828682,99679.93052828682
2013-01-10,99822.5035290851,98911.83536543328,99822.5035290851,99679.93052828682,99063.8213958307
2013-01-11,99822.5035290851,98911.83536543328,99822.5035290851,99679.93052828682,99063.8213958307
2013-01-14,99489.79193066401,98240.31975011861,99489.79193066401,99679.93052828682,98704.02159652105
2013-01-15,99489.79193066401,98240.31975011861,99489.79193066401,99679.93052828682,98704.02159652105
2013-01-16,99497.2592695576,98650.37819550053,99310.68884117418,100000.05160471058,99021.00855140125
2013-01-17,99791.32044702642,99392.57136885107,99187.52627620904,100120.94516886047,99717.41686992362
2013-01-18,99791.32044702642,99392.57136885107,99187.52627620904,100120.94516886047,99717.41686992362
2013-01-22,99791.32044702642,98224.273805198,99187.52627620904,100120.94516886047,98773.45440020756
2013-01-23,100422.83066739494,98666.74489206361,99579.39275084772,100754.54135602244,99218.39938202138
2013-01-24,100007.24157884927,97548.21994597427,99167.29413944406,100337.57951845313,98093.62066411343
2013-01-25,100007.24157884927,97548.21994597427,99167.29413944406,100337.57951845313,98093.62066411343
2013-01-28,99488.54936659164,97042.28156384545,98652.95835366764,99838.51221257167,97605.71454534969
2013-01-29,99016.89335990911,96778.67189341418,98387.0166518413,99251.2255865867,97274.4407501828
2013-01-30,98629.12518443757,96399.66900056173,98001.71518819612,98862.53972346704,96893.4963362573
2013-01-31,98629.12518443757,96399.66900056173,98001.71518819612,98862.53972346704,96893.4963362573
2013-02-01,98629.12518443757,96399.66900056173,98001.71518819612,98862.53972346704,96893.4963362573
2013-02-04,98798.2131428016,96564.93482024525,98169.72752640107,98949.27717386255,96978.50623844696
2013-02-05,98798.2131428016,96564.93482024525,98169.72752640107,98949.27717386255,96978.50623844696
2013-02-06,97945.78724670828,96001.95469827726,98040.13802242439,98095.54790508717,96413.11496704989
2013-02-07,97852.16158749383,95910.18713433026,97946.42217399589,98095.54790508717,96413.11496704989
2013-02-08,97852.16158749383,95910.18713433026,97946.42217399589,98095.54790508717,96413.11496704989
2013-02-11,97895.19359491841,96072.73621215463,97845.94148529424,98138.686945424,97074.31088507024
2013-02-12,98044.11390327975,96443.44492690059,97564.26301292136,98166.7348017818,97364.94372442142
2013-02-13,97048.67228121108,95792.16260535146,96573.69331563872,97727.06500414373,96709.7938703921
2013-02-14,97166.89033328803,95908.85006331718,96691.33278083996,97455.40788300586,96440.96451193797
2013-02-15,97166.89033328803,95908.85006331718,96691.33278083996,97455.40788300586,96440.96451193797
2013-02-19,97279.03619229348,96325.3784999205,96615.50464291542,97981.50246995862,96680.43853342577
2013-02-20,97009.52766954634,94946.76968282965,96347.83441354235,97710.04778639221,95577.50809063643
2013-02-21,97171.61155269621,93542.65292712736,96412.35846383445,97710.04778639221,94308.79706706929
2013-02-22,97171.61155269621,93542.65292712736,96412.35846383445,97710.04778639221,94308.79706706929
2013-02-25,96458.84596322388,91851.48392750548,95705.16208811491,97346.99412198307,92385.31043171322
2013-02-26,95841.88894703306,91263.99589682535,95093.02568272548,97365.78993708684,92403.14824200045
2013-02-27,95841.88894703306,91263.99589682535,95093.02568272548,97365.78993708684,92403.14824200045
2013-02-28,96233.02500380957,91636.44931852783,95481.10558704627,97763.14511820153,92780.25060751292
2013-03-01,96233.02500380957,91636.44931852783,95481.10558704627,97763.14511820153,92780.25060751292
2013-03-04,94791.08678022244,90263.38535279509,94050.43398786428,96393.79862738239,91480.69840475687
2013-03-05,94791.08678022244,90263.38535279509,94050.43398786428,96393.79862738239,91480.69840475687
2013-03-06,94791.08678022244,90263.38535279509,94050.43398786428,96393.79862738239,91480.69840475687
2013-03-07,94462.31681220859,90501.12506604906,93841.9781240642,96029.74099732804,91885.90332370895
2013-03-08,94462.31681220859,90501.12506604906,93841.9781240642,96029.74099732804,91885.90332370895
2013-03-11,93851.868255951,90490.95726157613,93419.52132847141,95734.9113642824,91744.1828458853
2013-03-12,93559.83631387376,89463.37576689468,93128.83468846678,95437.02009573505,90702.37018979205
2013-03-13,93248.88328889095,89464.48745260415,92819.31412921363,95119.82811183122,90724.5402213214
2013-03-14,93652.55741943103,89790.04844880188,92756.74073256293,95225.46746583542,90799.32294491857
2013-03-15,93652.55741943103,89790.04844880188,92756.74073256293,95225.46746583542,90799.32294491857
2013-03-18,93652.55741943103,89790.04844880188,92756.74073256293,95225.46746583542,90799.32294491857
2013-03-19,93424.71050420604,87782.5082906002,92603.54677538246,95225.46746583542,88614.38816257396
2013-03-20,93315.98458525339,87680.3486603444,92495.77651131539,95114.64585983803,88511.26040618696
2013-03-21,93100.91070875646,87773.39580251515,92444.32821074445,94558.46965874465,88291.62593956452
2013-03-22,93100.91070875646,87773.39580251515,92444.32821074445,94558.46965874465,88291.62593956452
2013-03-25,92510.11189473076,85970.54869847618,91857.69593126907,94140.73021143314,86478.13449741759
2013-03-26,92459.51671682108,85923.53010648332,91807.45756950701,94113.86171404952,86453.45296451186
2013-03-27,92388.98935430143,86162.50133174674,91485.45032411742,94042.0724307077,86693.89801556575
2013-03-28,92290.4465055203,86545.95275351481,91177.7267516458,94142.47314940755,87001.88254436516
2013-04-01,91802.75106754903,85218.30715616698,91210.43912413983,94142.47314940755,86057.56411122867
2013-04-02,92000.38441194758,85401.76548232176,91297.20642877849,94345.1434572372,86242.82919324761
2013-04-03,91942.24016899924,83821.32041030587,91434.99217272081,94345.1434572372,84755.83033229758
2013-04-04,91342.7017301332,83021.07774139082,90838.76140474953,94020.51916979947,83946.66589132693
2013-04-05,91342.7017301332,83021.07774139082,90838.76140474953,94020.51916979947,83946.66589132693
2013-04-08,90688.6104438583,82832.38337519912,90553.26477148547,93976.94427195043,83955.82963834572
2013-04-09,90688.6104438583,82697.30484946292,90553.26477148547,93976.94427195043,84305.02331142263
2013-04-10,90877.1861959526,82869.26366967015,90630.81616670884,93976.94427195043,84305.02331142263
2013-04-11,91558.9831013003,83142.81762525481,90910.68060966581,94480.77052110483,84497.18348735728
2013-04-12,91558.9831013003,83142.81762525481,90910.68060966581,94480.77052110483,84497.18348735728
2013-04-15,91591.21518321965,82753.7167095251,90779.2883913217,94945.91500514602,84416.31990732261
2013-04-16,91800.92733942525,82943.19405547435,90987.14151641968,95457.2608147549,84870.9569651136
2013-04-17,91810.19144335556,82951.56427996239,90996.32349703532,95457.2608147549,84870.9569651136
2013-04-18,91810.19144335556,82951.56427996239,90996.32349703532,95457.2608147549,84870.9569651136
