model,QLIKE,dQLIKE,MSE_1e8,dMSE_1e8,DM_p,dQ_13_19,dQ_20_26,both_sub_down,CW_p
log-HAR (free),0.22539514595447321,0.021312654175858897,1.4444883276373834,0.1215273403716788,5.484501741648273e-14,0.01992347094065841,0.02278719686286082,False,
A1 Fixed-hand .5/.3/.2,0.23257909934134607,0.028496607562731757,1.502763525787961,0.17980253852225644,0.0,0.025184966093468042,0.0320117354355286,False,
A1b Fixed-hand .2/.3/.5,0.2604713884340768,0.056388896655462484,1.6937911119979283,0.3708301247322236,0.0,0.05705792475531457,0.05567875960007737,False,
A2 Frozen HAR-IV (pre-13),0.2070161241340051,0.0029336323553907917,1.338552648283275,0.015591661017570434,1.3324949331261493e-05,0.0028003310740336296,0.0030751244383735443,False,
A3 Ridge HAR-IV,0.20430738557976863,0.00022489380115431334,1.3217903895530083,-0.0011705977126963128,0.019797857959988008,0.0002758115860424515,0.0001708473330983562,False,
B1 HAR-IV+slope,0.1963210921957336,-0.007761399582880718,1.2663901308453005,-0.05657085642040415,,-0.00746140823512545,-0.008079824133931768,True,0.04387403799135392
B2 Slope x HAR interact,0.19637276815110527,-0.007709723627509046,1.281399268137572,-0.04156171912813251,,-0.007067803613190871,-0.008391086919815494,True,0.04581694586435492
C1 log-HARQ (vs HAR),0.22541367649007502,1.8530535601801734e-05,1.464553648908177,0.02006532127079343,,1.1541250961005778e-05,2.5949282310977484e-05,False,0.8762992053680386
C2 log-HARQ-IV,0.20399439527069402,-8.809650792029888e-05,1.4573871671425207,0.13442617987681604,,-0.0001489305309026745,-2.3524490754656124e-05,True,0.9046153629386453
D1 Threshold-HAR-IV (VIX med),0.2038289826412422,-0.00025350913737212655,1.319652538350286,-0.003308448915418797,0.7197922762874582,-0.0005529692978881451,6.435158722387091e-05,False,
